Codi farm,Oficina de farmàcia,Tipus via,Nom via,Núm. Via,Municipi,CP,ABS,Telèfon
F08005425,PÉREZ VILLAGRASA. ALEIX/TOMÀS SABATÉ. MARINA,CR,NAPOLS,258,BARCELONA,08025,30 BARCELONA 2-J,934579052
F08005432,ARIÑO PORTA. MERCE,CR,GINEBRA,13,BARCELONA,08003,16 BARCELONA 1-A,933194895
F08005440,CORTES BOSCH DE BASEA. MAGDA,CR,BRUC,134,BARCELONA,08037,27 BARCELONA 2-G,934579333
F08005457,FERICHE BARTRA. IVONNE,CR,ARIBAU,20,BARCELONA,08011,24 BARCELONA 2-D,932541624
F08005464,MOR PUIG/RODRIGUEZ MUR,CR,GRAN DE SANT ANDREU,186,BARCELONA,08030,395 BARCELONA 9-H,933366351
F08005471,ALOMAR FERRER. PATRÍCIA,PS,BORN,11,BARCELONA,08003,17 BARCELONA 1-B,933195393
F08005496,PERIS GRAU. JOAQUIM,CR,LLENGUADOC,118,BARCELONA,08030,395 BARCELONA 9-H,933966056
F08005506,PALLARÉS LORA. MANUEL IGNACIO/PALLARÉS LORA. SERGIO,AV,MARE DE DEU DE MONTSERRAT,23,BARCELONA,08024,51 BARCELONA 7-A,932840585
F08005513,CERRA. MARIO,CR,MONTCADA,10,BARCELONA,08003,17 BARCELONA 1-B,933197632
F08005520,VILLARREAL GUERRERO.MARIA JESUS,CR,BALMES,431,BARCELONA,08022,46 BARCELONA 5-E,934178235
F08005538,VIDAL PAGES. M. MERCE,PS,JOAN DE BORBO COMTE DE BARCELONA,33,BARCELONA,08003,16 BARCELONA 1-A,933194551
F08005545,NIETO CALM. MARIA DOLORS,CR,NOU DE LA RAMBLA,28,BARCELONA,08001,19 BARCELONA 1-D,933184942
F08005560,RODRIGUEZ RUBIO. JOSEP LUIS,RD,SANT ANTONI,40,BARCELONA,08001,20 BARCELONA 1-E,932422650
F08005577,MARTÍNEZ MORALES. MA. ANGELES/JUAN ESPEJO. ALBERTO,CR,AMILCAR,7,BARCELONA,08031,385 BARCELONA 8J,934291781
F08005584,FORCADELL BERENGUER. YOLANDA,CR,MUNTANER,67 BIS,BARCELONA,08011,24 BARCELONA 2-D,932535854
F08005591,VIVES PAL. MA. CARME,CR,MUNTANER,147,BARCELONA,08036,25 BARCELONA 2-E,932534160
F08005601,COMAS CASTELLA. MARIA NIEVES,PL,SANT PERE,5,BARCELONA,08003,17 BARCELONA 1-B,933191238
F08005619,SALVADOR PLANO. ALEJANDRO,GV,CORTS CATALANES,931-941,BARCELONA,08018,77 BARCELONA 10-G,933074050
F08005626, BAÑERES MERINERO. CAROLINA MARIA,CR,DIPUTACIO,336,BARCELONA,08009,30 BARCELONA 2-J,932328165
F08005633,FINESTRES CAPDEVILA. ANNA/CAPDEVILA FINESTRES. FRANC,AV,DE SARRIA,52-54,BARCELONA,08029,40 BARCELONA 4-B,933229414
F08005640,GUILLEMI BASTE. MARIA MERCE,CR,VILADOMAT,60 BIS,BARCELONA,08015,21 BARCELONA 2-A,932234467
F08005658,ABAD MERIN. MILAGRO,GV,CORTS CATALANES,748,BARCELONA,08013,28 BARCELONA 2-H,932323107
F08005665,AMARGOS BOSCH. MERCE/BOSCH CAUSADIAS.TERESA,CR,VILADOMAT,295,BARCELONA,08029,23 BARCELONA 2-C,932301020
F08005672,PIFARRE TORRA. JOAN RAMON,CR,VALLESPIR,45,BARCELONA,08014,38 BARCELONA 3-G,933393456
F08005680,BANDRES FONT. NATALIA,CR,ROCAFORT,92,BARCELONA,08015,22 BARCELONA 2-B,934230082
F08005697,CATAFAL LLORA. LOURDES,CR,ROSER,39,BARCELONA,08004,32 BARCELONA 3-A,932428674
F08005707,GARCIA-VELA GRAU.TERESA,TS,DE GRACIA,235,BARCELONA,08012,47 BARCELONA 6-A,932137833
F08005714,TORRES VERGARA. ANTONI,CR,ARIBAU,62,BARCELONA,08011,25 BARCELONA 2-E,932539220
F08005721,CARBONELL PERIS. BEATRIU,AV,FRANCESC CAMBO,12,BARCELONA,08003,17 BARCELONA 1-B,933191748
F08005739,GARRIGOS SISTARE. GEMMA,PS,MARAGALL,170,BARCELONA,08027,67 BARCELONA 9-C,933517055
F08005746,TORRES CAMBRA.ADRIANA/GARCIA VALCARCEL.MARIA CONCEPCION,RB,CATALUNYA,102,BARCELONA,08008,27 BARCELONA 2-G,932150999
F08005753,NOGUERA HUGUET. BORJA,CR,BALUARD,34,BARCELONA,08003,16 BARCELONA 1-A,933192490
F08005760,BELENGUER BATLLERIÀ. MARIA,AV,GAUDI,71,BARCELONA,08025,31 BARCELONA 2-K,932358090
F08005778,PUCHOL JAMBERT. M. LLUÏSA/GARCÍA-MIRANDA ROJAS. AMELIA,CR,GIRONA,72,BARCELONA,08009,27 BARCELONA 2-G,932652369
F08005785,JUFRESA MADROÑAL. MIREIA,CR,COMTE BORRELL,133,BARCELONA,08015,21 BARCELONA 2-A,932546468
F08005792,GIBERT VIVO. M DOLORS/PARIS GIBERT. SILVIA,CR,CASANOVA,165,BARCELONA,08036,25 BARCELONA 2-E,932306411
F08005802,BLANC ACHA-ORBEA. MERCEDES,PG,POSOLTEGA,8 BIS,BARCELONA,08030,69 BARCELONA 9-E,933462239
F08005810,ALVAREZ HERNANDEZ. OLGA,CR,VALENCIA,278,BARCELONA,08007,27 BARCELONA 2-G,932153633
