Codi farm,Oficina de farmàcia,Tipus via,Nom via,Núm. Via,CP,ABS,Telèfon,Nom comarca,Nom,província,geocode_input,address,lat,lng
F08018061,Barloque trius. nuria / solans laque. anna m.,Carrer,Otger,2,8917,280 badalona 9,933874787,Barcelonès,Badalona,Barcelona,"Carrer Otger, 2, 08917, Badalona, Barcelona, Spain","Carrer d'Otger, 2, 08917 Badalona, Barcelona, Spain",41.4530492,2.2217499
F08018079,Jove gascon. m.rosa,Carrer,Menorca,6,8020,78 barcelona 10-h,933074934,Barcelonès,Barcelona,Barcelona,"Carrer Menorca, 6, 08020, Barcelona, Barcelona, Spain","C. de Menorca, 6, 08020 Barcelona, Spain",41.4171386,2.1938858
F08018086,Benito solanes. ana.,Rambla,Prim,244,8020,79 barcelona 10-i,933132440,Barcelonès,Barcelona,Barcelona,"Rambla Prim, 244, 08020, Barcelona, Barcelona, Spain","Rambla de Prim, 244, 08020 Barcelona, Spain",41.4248213,2.2020137
F08018093,Gonzalez orozco. domira,Via,Favencia,172,8042,62 barcelona 8-f,934275525,Barcelonès,Barcelona,Barcelona,"Via Favencia, 172, 08042, Barcelona, Barcelona, Spain","Via Favència, 172, 08042 Barcelona, Spain",41.4423149,2.1697491
F08018103,Taoudi benkirane. anasse,Carrer,Berenguer de palou,37,8027,65 barcelona 9-a,933492428,Barcelonès,Barcelona,Barcelona,"Carrer Berenguer de palou, 37, 08027, Barcelona, Barcelona, Spain","Carrer de Berenguer de Palou, 37, 08027 Barcelona, Spain",41.42382060000000,2.1916468
F08018110,Escoda escoda. mercedes,Carrer,Miquel angel,113,8028,36 barcelona 3-e,933300399,Barcelonès,Barcelona,Barcelona,"Carrer Miquel angel, 113, 08028, Barcelona, Barcelona, Spain","Carrer de Miquel Àngel, 113, 08028 Barcelona, Spain",41.3765328,2.1286458
F08018128,Janer munuera. m. asunción/pérez janer. ferran,Carrer,Joan de garay,59,8027,67 barcelona 9-c,933499369,Barcelonès,Barcelona,Barcelona,"Carrer Joan de garay, 59, 08027, Barcelona, Barcelona, Spain","Carrer de Juan de Garay, 59, 08027 Barcelona, Spain",41.4200016,2.1837041
F08018135,Valles queralt. rosa maria,Avinguda,Nostre senyora de la pietat,27,8700,372 igualada-2,938034859,Anoia,Igualada,Barcelona,"Avinguda Nostre senyora de la pietat, 27, 08700, Igualada, Barcelona, Spain","Avenida Nostra Senyora de la Pietat, 27, 08700 Igualada, Barcelona, Spain",41.586564,1.6050999
F08018142,Peris zaragoza. m carmen,Carrer,Bailen,92,8009,27 barcelona 2-g,932462566,Barcelonès,Barcelona,Barcelona,"Carrer Bailen, 92, 08009, Barcelona, Barcelona, Spain","C/ de Bailèn, 92, 08009 Barcelona, Spain",41.3964306,2.1710877
F08018167,Subirats costa. joan ramon,Carrer,Blai parera,35,8304,154 mataró 3,937961721,Maresme,Mataró,Barcelona,"Carrer Blai parera, 35, 08304, Mataró, Barcelona, Spain","Carrer Blai Parera, 35, 08304 Mataró, Barcelona, Spain",41.55093130000000,2.45012
F08018174,Millán lafargue. xavier.,Carrer,Can flequer,19,8100,348 mollet del vallès-est,935933143,Vallès Oriental,Mollet del Vallès,Barcelona,"Carrer Can flequer, 19, 08100, Mollet del Vallès, Barcelona, Spain","Carrer de Can Flequer, 19, 08100 Mollet del Vallès, Barcelona, Spain",41.5456538,2.2194201
F08018181,Guillen rodriguez. consol,Avinguda,Rio de janeiro,65,8016,,933595347,Barcelonès,Barcelona,Barcelona,"Avinguda Rio de janeiro, 65, 08016, Barcelona, Barcelona, Spain","Avinguda de Rio de Janeiro, 65, 08016 Barcelona, Spain",41.4379787,2.1805522
F08018199,Casanovas baiget. pere,,Urrutia,113,8042,62 barcelona 8-f,933532984,Barcelonès,Barcelona,Barcelona,,,,
F08018209,Vidal delclos.r/juves vidal.a,Carrer,Sant cristofol,8,8792,176 penedès rural,938974227,Alt Penedès, La Granada,Barcelona,"Carrer Sant cristofol, 8, 08792,  La Granada, Barcelona, Spain","C. de Sant Cristòfor, 8, 08792 La Granada, Barcelona, Spain",41.3778994,1.7205666
F08018216,Terrassa caffaro. m.lluisa,Avinguda,Onze de setembre,58,8830,205 sant boi de llobregat 4,936614648,Baix Llobregat,Sant Boi de Llobregat,Barcelona,"Avinguda Onze de setembre, 58, 08830, Sant Boi de Llobregat, Barcelona, Spain","Av. Onze de Setembre, 58, 08830 Sant Boi de Llobregat, Barcelona, Spain",41.3389279,2.0413476
F08018223,Puga gasull. berta,Carrer,Sant ramon de penyafort,3,8019,74 barcelona 10-d,933580900,Barcelonès,Barcelona,Barcelona,"Carrer Sant ramon de penyafort, 3, 08019, Barcelona, Barcelona, Spain","Ronda de Sant Ramon de Penyafort, 3, 08930 Sant Adrià de Besòs, Barcelona, Spain",41.4136298,2.2205127
F08018230,Chacon puig. roberto dario.,Avinguda,Diagonal,30-32,8860,366 castelldefels-2,936652318,Baix Llobregat,Castelldefels,Barcelona,"Avinguda Diagonal, 30-32, 08860, Castelldefels, Barcelona, Spain","Av. Diagonal, 30, 32, 08860 Castelldefels, Barcelona, Spain",41.2787022,1.9726144
F08018248,Fernandez rodriguez. leandro,Avinguda,Meridiana,344,8027,65 barcelona 9-a,933118651,Barcelonès,Barcelona,Barcelona,"Avinguda Meridiana, 344, 08027, Barcelona, Barcelona, Spain","Avinguda Meridiana, 344, 08027 Barcelona, Spain",41.4267061,2.1860192
F08018255,Vicen carbo. maria inmaculada,Carrer,Josep pla,184-186,8020,74 barcelona 10-d,933146820,Barcelonès,Barcelona,Barcelona,"Carrer Josep pla, 184-186, 08020, Barcelona, Barcelona, Spain","Carrer de Josep Pla, 184, 186, 08020 Barcelona, Spain",41.4164107,2.2060735
F08018262,Artigalas boixareu. nuria,Carrer,Rocafort,60,8271,11 artés,938305418,Bages,Artés,Barcelona,"Carrer Rocafort, 60, 08271, Artés, Barcelona, Spain","Carrer Rocafort, 60, 08271 Artés, Barcelona, Spain",41.79642,1.94993
F08018270,Ferragut ventura. antonio,Carrer,Cerdanya,22,8830,205 sant boi de llobregat 4,936617649,Baix Llobregat,Sant Boi de Llobregat,Barcelona,"Carrer Cerdanya, 22, 08830, Sant Boi de Llobregat, Barcelona, Spain","Carrer de la Cerdanya, 22, 08830 Sant Boi de Llobregat, Barcelona, Spain",41.34306,2.04324
