Codi,Nom ,Codi comarca,Nom comarca,Altitud(m),Superfície(km2),Població,densitat(habitants/km2),IST_idescat,Índex socioeconòmic territorial
430666,"Garidells, els",1,Alt Camp,132,3.07,190,61.89,0.0,95.0
431191,Puigpelat,1,Alt Camp,252,9.48,1163,122.68,0.0,95.0
430108,Alió,1,Alt Camp,263,7.25,458,63.17,0.0,95.0
431135,"Pont d'Armentera, el",1,Alt Camp,349,21.67,488,22.52,0.0,95.0
431080,"Pla de Santa Maria, el",1,Alt Camp,381,34.99,2348,67.1,0.0,95.0
430982,Nulles,1,Alt Camp,231,10.61,509,47.97,0.0,95.0
430897,Montferri,1,Alt Camp,229,19.15,403,21.04,0.0,95.0
430363,Cabra del Camp,1,Alt Camp,493,26.95,1175,43.6,0.0,95.0
430918,Mont-ral,1,Alt Camp,888,34.72,168,4.84,0.0,95.0
430831,"Milà, el",1,Alt Camp,166,4.13,190,46.0,0.0,95.0
430803,"Masó, la",1,Alt Camp,115,3.57,280,78.43,0.0,95.0
431606,Vallmoll,1,Alt Camp,161,16.68,1774,106.35,0.0,95.0
431704,Vila-rodona,1,Alt Camp,259,33.11,1276,38.54,0.0,95.0
431652,Vilabella,1,Alt Camp,254,18.19,729,40.08,0.0,95.0
430056,Alcover,1,Alt Camp,243,46.0,5144,111.83,1.0,98.3
430593,Figuerola del Camp,1,Alt Camp,474,22.72,329,14.48,0.0,95.0
431613,Valls,1,Alt Camp,215,55.28,24477,442.78,1.0,92.5
431205,Querol,1,Alt Camp,565,72.26,518,7.17,0.0,95.0
430347,Bràfim,1,Alt Camp,236,6.42,695,108.26,0.0,95.0
431248,"Riba, la",1,Alt Camp,263,7.99,585,73.22,0.0,95.0
430017,Aiguamúrcia,1,Alt Camp,314,72.95,930,12.75,0.0,95.0
431346,"Rourell, el",1,Alt Camp,114,2.32,372,160.34,0.0,95.0
431325,Rodonyà,1,Alt Camp,312,8.49,494,58.19,0.0,95.0
170470,Castelló d'Empúries,2,Alt Empordà,17,42.3,111,2.62,1.0,76.7
171208,Palau-saverdera,2,Alt Empordà,78,16.45,1456,88.51,0.0,84.2
170144,"Vajol, la",2,Alt Empordà,546,4.71,89,18.9,0.0,84.2
171518,Riumors,2,Alt Empordà,7,6.54,246,37.61,0.0,84.2
171788,Sant Pere Pescador,2,Alt Empordà,5,18.45,209,11.33,0.0,84.2
170412,Cantallops,2,Alt Empordà,200,19.62,309,15.75,0.0,84.2
171766,Sant Mori,2,Alt Empordà,51,7.53,166,22.05,0.0,84.2
170160,Bàscara,2,Alt Empordà,66,17.5,1001,57.2,0.0,84.2
171194,Palau de Santa Eulàlia,2,Alt Empordà,86,8.44,90,10.66,0.0,84.2
171289,Pau,2,Alt Empordà,33,10.7,557,52.06,0.0,84.2
171292,Pedret i Marzà,2,Alt Empordà,22,8.65,191,22.08,0.0,84.2
171753,Sant Miquel de Fluvià,2,Alt Empordà,28,3.51,761,216.81,0.0,84.2
170427,Capmany,2,Alt Empordà,107,26.4,611,23.14,0.0,84.2
171024,Maçanet de Cabrenys,2,Alt Empordà,370,67.91,698,10.28,0.0,84.2
171002,Masarac,2,Alt Empordà,85,12.55,288,22.95,0.0,84.2
171061,Mollet de Peralada,2,Alt Empordà,59,6.04,198,32.78,0.0,84.2
171984,Torroella de Fluvià,2,Alt Empordà,9,16.85,703,41.72,0.0,84.2
170329,Cadaqués,2,Alt Empordà,23,26.43,2695,101.97,0.0,84.2
171962,Terrades,2,Alt Empordà,228,20.96,338,16.13,0.0,84.2
170524,Siurana,2,Alt Empordà,33,10.53,171,16.24,0.0,84.2
171117,Navata,2,Alt Empordà,145,18.48,1427,77.22,0.0,84.2
170031,Albanyà,2,Alt Empordà,239,94.39,155,1.64,0.0,84.2
170293,Boadella i les Escaules,2,Alt Empordà,82,10.78,272,25.23,0.0,84.2
171886,"Selva de Mar, la",2,Alt Empordà,48,7.19,195,27.12,0.0,84.2
172348,Biure,2,Alt Empordà,81,10.02,241,24.05,0.0,84.2
170059,"Far d'Empordà, el",2,Alt Empordà,44,9.0,602,66.89,0.0,84.2
170314,Cabanelles,2,Alt Empordà,194,55.58,267,4.8,0.0,84.2
171870,"Saus, Camallera i Llampaies",2,Alt Empordà,86,11.36,856,75.35,0.0,84.2
171156,Ordis,2,Alt Empordà,98,8.55,361,42.22,0.0,84.2
170307,Cabanes,2,Alt Empordà,26,15.02,968,64.45,0.0,84.2
171432,Rabós,2,Alt Empordà,106,45.1,184,4.08,0.0,84.2
172214,Vilafant,2,Alt Empordà,54,8.36,5421,648.44,1.0,104.4
171827,Santa Llogaia d'Àlguema,2,Alt Empordà,42,1.94,368,189.69,0.0,84.2
172109,Ventalló,2,Alt Empordà,28,25.05,846,33.77,0.0,84.2
171523,Roses,2,Alt Empordà,5,45.91,19807,431.43,1.0,79.6
171328,Peralada,2,Alt Empordà,32,43.61,1898,43.52,0.0,84.2
170123,Avinyonet de Puigventós,2,Alt Empordà,70,12.3,1641,133.41,0.0,84.2
